Date,Open,High,Low,Close,Adj Close
4-Aug-09,4706.25,4731.45,4399.85,4437.65,4437.65
11-Aug-09,4435,4619,4359.4,4387.9,4387.9
18-Aug-09,4389.5,4656.3,4353.45,4642.8,4642.8
25-Aug-09,4641.65,4743.75,4582.5,4662.1,4662.1
1-Sep-09,4662.2,4790,4576.6,4782.9,4782.9
8-Sep-09,4782.85,4889.05,4782.65,4808.6,4808.6
15-Sep-09,4808.35,5003.05,4808.35,4976.05,4976.05
22-Sep-09,4977.1,5036.3,4904.05,4958.95,4958.95
29-Sep-09,4959.15,5110.5,4959.1,5003.2,5003.2
6-Oct-09,5003.65,5077,4921.05,5054.25,5054.25
13-Oct-09,5054.35,5152.25,5054.35,5142.15,5142.15
20-Oct-09,5145.6,5181.95,4961.35,4970.9,4970.9
27-Oct-09,4970.55,4970.55,4687.5,4711.7,4711.7
3-Nov-09,4712.25,4905.25,4538.5,4898.4,4898.4
10-Nov-09,4898.9,5073.2,4860.1,5058.05,5058.05
17-Nov-09,5058.95,5113.1,4932.8,5103.55,5103.55
24-Nov-09,5105,5138,4806.7,5032.7,5032.7
1-Dec-09,5039.7,5181,5038.85,5066.7,5066.7
8-Dec-09,5068.55,5182.55,5058.9,5105.7,5105.7
15-Dec-09,5105.75,5129.45,4943.95,4952.6,4952.6
22-Dec-09,4953.35,5197.9,4953.35,5178.4,5178.4
29-Dec-09,5180.75,5238.45,5160.1,5232.2,5232.2
5-Jan-10,5277.15,5310.85,5227.8,5249.4,5249.4
12-Jan-10,5251.1,5300.5,5169.55,5274.85,5274.85
19-Jan-10,5274.2,5287.8,4954.85,5007.9,5007.9
26-Jan-10,5008.5,5008.5,4766,4899.7,4899.7
2-Feb-10,4907.85,4951.15,4675.4,4760.4,4760.4
9-Feb-10,4760.55,4845.6,4739.35,4801.95,4801.95
16-Feb-10,4801.8,4929.7,4791.35,4856.4,4856.4
23-Feb-10,4856.6,4992,4833.15,4922.3,4922.3
2-Mar-10,4935.6,5147.1,4935.35,5124,5124
9-Mar-10,5121.05,5158.1,5092.05,5128.9,5128.9
16-Mar-10,5128.95,5269.95,5125.7,5205.2,5205.2
23-Mar-10,5205.85,5329.55,5193.4,5302.85,5302.85
30-Mar-10,5302.95,5377.55,5235.15,5368.4,5368.4
6-Apr-10,5369.65,5399.65,5290.25,5339.7,5339.7
13-Apr-10,5340.85,5373.15,5160.9,5203.65,5203.65
20-Apr-10,5208.3,5342.35,5208.3,5322.45,5322.45
27-Apr-10,5322.1,5330.55,5202.45,5222.75,5222.75
4-May-10,5223.9,5250.15,4984.6,5193.6,5193.6
11-May-10,5189.75,5212.7,4966.25,5059.9,5059.9
18-May-10,5059.55,5105.2,4842.3,4943.95,4943.95
25-May-10,4945.3,5097.6,4786.45,5086.3,5086.3
1-Jun-10,5086.25,5147.9,4961.05,5034,5034
8-Jun-10,5036.7,5201.25,4967.3,5197.7,5197.7
15-Jun-10,5201.3,5366.75,5171.05,5353.3,5353.3
22-Jun-10,5353.95,5354.35,5259.9,5333.5,5333.5
29-Jun-10,5333.55,5334.15,5210,5235.9,5235.9
6-Jul-10,5236.1,5402.7,5231.5,5383,5383
13-Jul-10,5370.2,5453.45,5357.85,5386.45,5386.45
20-Jul-10,5387,5477.5,5353.6,5418.6,5418.6
27-Jul-10,5420.2,5450.95,5349.2,5431.65,5431.65
3-Aug-10,5432.5,5492.3,5426.4,5486.15,5486.15
10-Aug-10,5486.8,5491.45,5372.45,5418.3,5418.3
17-Aug-10,5422.15,5549.8,5408.8,5543.5,5543.5
24-Aug-10,5541.1,5547.25,5390.35,5415.45,5415.45
31-Aug-10,5413.55,5589.4,5348.9,5576.95,5576.95
7-Sep-10,5575.9,5770.6,5567.75,5760,5760
14-Sep-10,5760.3,5989.5,5760.3,5980.45,5980.45
21-Sep-10,5980.5,6073.5,5932.4,6035.65,6035.65
28-Sep-10,6036.05,6222.1,5963.6,6159.45,6159.45
5-Oct-10,6159.45,6223.4,6067,6135.85,6135.85
12-Oct-10,6135.95,6284.1,5985.1,6075.95,6075.95
19-Oct-10,6114.45,6151.3,5966.75,6105.8,6105.8
26-Oct-10,6116.3,6132.4,5937.1,6117.55,6117.55
2-Nov-10,6127.55,6338.5,6094.4,6273.2,6273.2
9-Nov-10,6281,6310.9,6039.4,6121.6,6121.6
16-Nov-10,6143.45,6144.05,5863.95,6010,6010
23-Nov-10,5971.55,5976.65,5690.35,5830,5830
30-Nov-10,5811.6,6069.45,5768.35,5992.25,5992.25
7-Dec-10,5995.05,6001,5721.15,5907.65,5907.65
14-Dec-10,5928.7,5985,5855.05,5947.05,5947.05
21-Dec-10,5960.4,6045.75,5940.25,5998.1,5998.1
28-Dec-10,6005.35,6178.55,5982.25,6157.6,6157.6
4-Jan-11,6172.75,6181.05,5740.95,5762.85,5762.85
11-Jan-11,5767.95,5874.2,5624.15,5654.75,5654.75
18-Jan-11,5682.55,5756,5634.5,5743.25,5743.25
25-Jan-11,5763.3,5801.55,5416.65,5505.9,5505.9
1-Feb-11,5537.3,5556.3,5369.05,5396,5396
8-Feb-11,5432.35,5463.8,5177.7,5456,5456
15-Feb-11,5467.75,5599.25,5408.35,5518.6,5518.6
22-Feb-11,5504.4,5519.45,5232.75,5333.25,5333.25
1-Mar-11,5382,5608.2,5373.55,5463.15,5463.15
8-Mar-11,5466.1,5563.3,5411.55,5531.5,5531.5
15-Mar-11,5420,5535.1,5348.2,5364.75,5364.75
22-Mar-11,5390.85,5709.1,5376.15,5687.25,5687.25
29-Mar-11,5686.5,5918.7,5680.7,5908.45,5908.45
5-Apr-11,5923.85,5944.45,5777.9,5785.7,5785.7
12-Apr-11,5747.95,5923.6,5722.25,5729.1,5729.1
19-Apr-11,5716,5912.9,5693.25,5874.5,5874.5
26-Apr-11,5876.85,5893.2,5687.7,5701.3,5701.3
3-May-11,5689.7,5710.8,5443.65,5551.1,5551.1
10-May-11,5555.55,5605,5472.15,5499,5499
17-May-11,5496.1,5523.85,5373,5386.55,5386.55
24-May-11,5385.1,5509.3,5328.7,5473.1,5473.1
31-May-11,5561.05,5604.95,5479.85,5532.05,5532.05
7-Jun-11,5509.15,5570.1,5436.95,5482.8,5482.8
14-Jun-11,5485.6,5520.15,5195.9,5257.9,5257.9
21-Jun-11,5280.8,5552.65,5252.25,5526.6,5526.6
28-Jun-11,5548.85,5705.8,5496.35,5650.5,5650.5
5-Jul-11,5659.85,5740.4,5601.7,5616.1,5616.1
12-Jul-11,5556.9,5631.7,5496.95,5567.05,5567.05
19-Jul-11,5569.85,5700.55,5532.7,5680.3,5680.3
26-Jul-11,5688.45,5702.25,5453.95,5516.8,5516.8
2-Aug-11,5493.2,5496.3,5054.05,5118.5,5118.5
9-Aug-11,4947.9,5197.95,4946.45,5072.95,5072.95
16-Aug-11,5125.75,5132.2,4796.1,4898.8,4898.8
23-Aug-11,4925.15,4965.8,4720,4919.6,4919.6
30-Aug-11,4973.25,5113.7,4927.55,5017.2,5017.2
6-Sep-11,4993.35,5169.25,4911.25,4946.8,4946.8
13-Sep-11,4977.8,5143.6,4911.05,5031.95,5031.95
20-Sep-11,5042.55,5168.4,4758.85,4835.4,4835.4
27-Sep-11,4905.15,5034.25,4823.9,4849.5,4849.5
4-Oct-11,4823.5,4991.15,4728.3,4979.6,4979.6
11-Oct-11,5019.9,5160.2,4964,5118.25,5118.25
18-Oct-11,5049.45,5148.05,5011.05,5098.35,5098.35
25-Oct-11,5137.9,5399.7,5085.55,5326.6,5326.6
1-Nov-11,5278.6,5326.45,5201.85,5284.2,5284.2
8-Nov-11,5292.25,5317.5,5140.55,5148.35,5148.35
15-Nov-11,5131.2,5158.75,4764.8,4778.35,4778.35
22-Nov-11,4794.85,4859.1,4640.95,4851.3,4851.3
29-Nov-11,4864.2,5062.55,4754.8,5039.15,5039.15
6-Dec-11,5050.1,5099.25,4755.55,4764.6,4764.6
13-Dec-11,4733.6,4839.55,4555.9,4613.1,4613.1
20-Dec-11,4635.8,4763.45,4531.15,4714,4714
27-Dec-11,4780.2,4800.5,4608.9,4624.3,4624.3
3-Jan-12,4675.8,4794.9,4675.8,4742.8,4742.8
10-Jan-12,4771.85,4898.85,4768.25,4873.9,4873.9
17-Jan-12,4904.5,5064.15,4904,5046.25,5046.25
24-Jan-12,5064.8,5217,5049.8,5087.3,5087.3
31-Jan-12,5125.25,5390.05,5120.15,5361.65,5361.65
7-Feb-12,5412.95,5427.75,5322.95,5390.2,5390.2
14-Feb-12,5380.8,5606.7,5377.95,5564.3,5564.3
21-Feb-12,5561.9,5629.95,5268.15,5281.2,5281.2
28-Feb-12,5310.5,5458.8,5265.7,5280.35,5280.35
6-Mar-12,5266,5421.9,5171.45,5359.55,5359.55
13-Mar-12,5391.05,5499.4,5238.55,5257.05,5257.05
20-Mar-12,5257.15,5385.95,5174.9,5184.25,5184.25
27-Mar-12,5242.95,5331.55,5135.95,5317.9,5317.9
3-Apr-12,5353.2,5378.75,5228,5234.4,5234.4
10-Apr-12,5254.1,5306.75,5183.5,5226.2,5226.2
17-Apr-12,5266.6,5342.45,5187.15,5200.6,5200.6
24-Apr-12,5215.9,5262.15,5154.3,5248.15,5248.15
1-May-12,5254.3,5279.6,4988,5114.15,5114.15
8-May-12,5114.7,5119.95,4874.5,4907.8,4907.8
15-May-12,4869.85,4955.2,4788.95,4891.45,4891.45
22-May-12,4954.7,4994.95,4803.95,4985.65,4985.65
29-May-12,5005.35,5020.15,4770.35,4848.15,4848.15
5-Jun-12,4869.45,5124.45,4847.7,5054.1,5054.1
12-Jun-12,5015.5,5190.2,5015.15,5064.25,5064.25
19-Jun-12,5050.8,5194.6,5048.1,5114.65,5114.65
26-Jun-12,5107.45,5302.15,5095.5,5278.6,5278.6
3-Jul-12,5298.85,5333.65,5257.75,5275.15,5275.15
10-Jul-12,5286.6,5348.55,5190.45,5197.25,5197.25
17-Jul-12,5228.05,5257.75,5108.1,5117.95,5117.95
24-Jul-12,5128.8,5206.6,5032.4,5199.8,5199.8
31-Jul-12,5214.85,5293.2,5154.05,5282.55,5282.55
7-Aug-12,5295.4,5377.6,5281.65,5347.9,5347.9
14-Aug-12,5343.25,5399.95,5328.8,5366.3,5366.3
21-Aug-12,5368.7,5448.6,5346.65,5350.25,5350.25
28-Aug-12,5343.85,5345.5,5238.9,5253.75,5253.75
4-Sep-12,5249.15,5375.45,5215.7,5363.45,5363.45
11-Sep-12,5336.1,5652.2,5332.1,5610,5610
18-Sep-12,5602.4,5720,5534.9,5669.6,5669.6
25-Sep-12,5674.9,5735.15,5638.65,5718.8,5718.8
2-Oct-12,5727.7,5815.35,4888.2,5676,5676
9-Oct-12,5708.15,5728.65,5636.95,5687.25,5687.25
16-Oct-12,5705.6,5722.5,5633.9,5717.15,5717.15
23-Oct-12,5715.65,5720.8,5641.75,5665.6,5665.6
30-Oct-12,5656.35,5711.3,5583.05,5704.2,5704.2
6-Nov-12,5694.1,5777.3,5665.75,5683.7,5683.7
13-Nov-12,5689.7,5698.25,5549.25,5571.4,5571.4
20-Nov-12,5604.8,5649.2,5548.35,5635.9,5635.9
27-Nov-12,5658.5,5899.15,5658,5870.95,5870.95
4-Dec-12,5866.8,5949.85,5838.9,5908.9,5908.9
11-Dec-12,5923.8,5965.15,5839.15,5857.9,5857.9
18-Dec-12,5873.6,5939.4,5823.15,5855.75,5855.75
25-Dec-12,5864.95,5930.8,5859.55,5905.1,5905.1
1-Jan-13,5982.6,6042.15,5977.15,5988.4,5988.4
8-Jan-13,5983.45,6036.9,5940.6,6024.05,6024.05
15-Jan-13,6037.85,6094.35,5988.1,6082.3,6082.3
22-Jan-13,6080.15,6101.3,6007.85,6074.8,6074.8
29-Jan-13,6064.7,6111.8,5981.25,5987.25,5987.25
5-Feb-13,5948.2,5990.9,5879.1,5897.85,5897.85
12-Feb-13,5894.35,5969.5,5853.9,5898.2,5898.2
19-Feb-13,5900.2,5971,5825,5854.75,5854.75
26-Feb-13,5838.3,5849.9,5663.6,5698.5,5698.5
5-Mar-13,5722.45,5971.2,5722.4,5942.35,5942.35
12-Mar-13,5944.6,5952,5791.75,5835.25,5835.25
19-Mar-13,5859.5,5863.6,5624.4,5633.85,5633.85
26-Mar-13,5613.75,5720.95,5604.85,5704.4,5704.4
2-Apr-13,5701.7,5754.6,5534.7,5542.95,5542.95
9-Apr-13,5568.75,5610.65,5477.2,5568.4,5568.4
16-Apr-13,5562.45,5844.85,5555.85,5834.4,5834.4
23-Apr-13,5843.1,5924.6,5791.55,5904.1,5904.1
30-Apr-13,5932.6,6019.45,5867.8,5971.05,5971.05
7-May-13,5983.45,6105.3,5972.9,5980.45,5980.45
14-May-13,5989.7,6229.45,5970.05,6156.9,6156.9
21-May-13,6152.35,6180.25,5936.8,6083.15,6083.15
28-May-13,6086.35,6133.75,5916.35,5939.3,5939.3
4-Jun-13,5941.1,5981.6,5857.4,5878,5878
11-Jun-13,5848.75,5868.05,5683.1,5850.05,5850.05
18-Jun-13,5841.9,5863.4,5566.25,5590.25,5590.25
25-Jun-13,5606.95,5904.35,5570.25,5898.85,5898.85
2-Jul-13,5885.5,5900.45,5760.4,5811.55,5811.55
9-Jul-13,5834.6,6038.2,5802.85,6030.8,6030.8
16-Jul-13,5930.8,6066.85,5910.95,6031.8,6031.8
23-Jul-13,6064.3,6093.35,5825.8,5831.65,5831.65
30-Jul-13,5836.05,5861.3,5649,5685.4,5685.4
6-Aug-13,5664.9,5664.9,5486.85,5612.4,5612.4
13-Aug-13,5600.25,5754.55,5360.65,5414.75,5414.75
20-Aug-13,5353.45,5528.7,5254.05,5476.5,5476.5
27-Aug-13,5426.5,5564.9,5118.85,5550.75,5550.75
3-Sep-13,5574.7,5688.6,5318.9,5680.4,5680.4
10-Sep-13,5738.5,5957.25,5738.2,5840.55,5840.55
17-Sep-13,5824.2,6142.5,5804.9,5889.75,5889.75
24-Sep-13,5855,5938.4,5718.5,5735.3,5735.3
1-Oct-13,5756.1,5950.45,5700.95,5906.15,5906.15
8-Oct-13,5975,6124.1,5877.1,6112.7,6112.7
15-Oct-13,6147.55,6218.95,6032.55,6204.95,6204.95
22-Oct-13,6192.3,6252.45,6094.1,6101.1,6101.1
29-Oct-13,6107.55,6332.6,6079.2,6307.2,6307.2
5-Nov-13,6282.15,6304.75,6067.75,6078.8,6078.8
12-Nov-13,6087.25,6196.8,5972.45,6189,6189
19-Nov-13,6197.25,6212.4,5972.8,6115.35,6115.35
26-Nov-13,6099.25,6228.7,6030.3,6217.85,6217.85
3-Dec-13,6204.25,6415.25,6149.9,6363.9,6363.9
10-Dec-13,6354.7,6362.25,6146.05,6154.7,6154.7
17-Dec-13,6178.2,6317.5,6129.95,6284.5,6284.5
